Product_name,Product_catagory,price,redprice,yellowPrice,blue_price,selling_attribute,Brand_Name,color_available,product_link
Regular Fit Joggers,men_trousers_joggers,39.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Joggers,men_trousers_joggers,39.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Sweatpants,men_trousers_joggers,19.99,,,,,H&M,11,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Twill Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Sweatpants,men_trousers_joggers,19.99,,,,,H&M,11,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Twill Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Suit Pants,men_trousers_trousers_slim_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
2-pack Regular Fit Sweatpants,men_trousers_trousers_regular_all,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Dress Pants,men_trousers,39.99,,,,New Arrival,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cargo Pants,men_trousers_cargo,39.99,,,,New Arrival,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Nylon Track Pants,men_trousers,64.99,,,,New Arrival,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Sweatpants,men_trousers_joggers,29.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Twill Pants,men_trousers,29.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Cargo Pants,men_trousers_cargo,39.99,,,,New Arrival,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Work Pants,men_trousers,34.99,,,,New Arrival,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Work Pants,men_trousers,34.99,,,,New Arrival,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Patterned Twill Pants,men_trousers,39.99,,,,New Arrival,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Terry Track Pants,men_trousers,34.99,,,,New Arrival,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit 5-pocket Twill Pants,men_trousers,34.99,,,,New Arrival,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Printed Sweatpants,men_trousers_joggers,34.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Printed Sweatpants,men_trousers_joggers,34.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Sweatpants,men_trousers_joggers,19.99,,,,,H&M,11,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Suit Pants,men_trousers_trousers_slim_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Chinos,men_trousers_chinos_slim_all,34.99,,,,,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Twill Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Suit Pants,men_trousers_trousers_slim_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cotton Cargo Joggers,men_trousers_cargo,34.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
DryMove™ Sports Joggers,sportswear_men_clothing_trousersjoggers,39.99,,,,,H&M,6,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Twill Pants,men_trousers,29.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Overalls,men_trousers,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Nylon Cargo Joggers,men_trousers_trousers_slim_all,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Ripstop Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Twill Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cotton Chinos,men_trousers_chinos_skinny_all,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Suit Pants,men_trousers_trousers_slim_all,39.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Sweatpants,men_trousers_casual,29.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Chinos,men_trousers_chinos_slim_all,34.99,,,,,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Pants,men_trousers,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Pants,men_trousers_dressed,34.99,,,,,H&M,9,https://www2.hm.com//en_us/productpage.1002227011.html
Essentials No 13: THE SLACKS,men_trousers_dressed,49.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit 5-pocket Twill Pants,men_trousers,34.99,,,,,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Sweatpants,men_trousers_casual,29.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Chinos,men_trousers_chinos_slim_all,34.99,,,,,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Chinos,men_trousers_chinos_slim_all,34.99,,,,,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Sweatpants,men_trousers_joggers,19.99,,,,,H&M,11,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Pants,men_trousers_dressed,34.99,,,,,H&M,9,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Corduroy Pants,men_trousers,34.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Pants,men_trousers,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Twill Pants,men_trousers,29.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
DryMove™ Sports Joggers,sportswear_men_clothing_trousersjoggers,39.99,,,,,H&M,6,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Pants,men_trousers_dressed,34.99,,,,,H&M,9,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cotton Chinos,men_trousers_chinos_skinny_all,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cotton Cargo Joggers,men_trousers_cargo,34.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Sweatpants,men_trousers_joggers,19.99,,,,,H&M,11,https://www2.hm.com//en_us/productpage.1002227011.html
DryMove™ Sports Joggers,sportswear_men_clothing_trousersjoggers,39.99,,,,,H&M,6,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Twill Pants,men_trousers,29.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
DryMove™ Sports Joggers,sportswear_men_clothing_trousersjoggers,39.99,,,,,H&M,6,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Twill Pants,men_trousers,34.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
2-pack Regular Fit Sweatpants,men_trousers_trousers_regular_all,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Pants,men_trousers_dressed,34.99,,,,New Arrival,H&M,9,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Overalls,men_trousers,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Nylon Cargo Joggers,men_trousers_cargo,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Nylon Cargo Joggers,men_trousers_trousers_slim_all,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Dress Pants,men_trousers,39.99,,,,New Arrival,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
2-pack Regular Fit Sweatpants,men_trousers_trousers_regular_all,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Chinos,men_trousers_chinos_slim_all,34.99,,,,,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Pants,men_trousers_dressed,34.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Chinos,men_trousers_chinos_slim_all,34.99,,,,,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Printed Sweatpants,men_trousers_joggers,34.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Padded Shell Pants,men_trousers,74.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Linen-blend Pants,men_trousers_linentrousers,39.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Sweatpants,men_trousers_casual,29.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cotton Chinos,men_trousers_chinos_skinny_all,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Ripstop Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Pants,men_trousers,39.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Velvet Suit Pants,men_trousers_dressed,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Cargo Pants,men_trousers_cargo,39.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Corduroy Pants,men_trousers,34.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Dressy Joggers,men_trousers_joggers,34.99,,,,New Arrival,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Corduroy Pants,men_trousers,34.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cotton Twill Pants,men_trousers,29.99,,,,,H&M,8,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Twill Pants,men_trousers,34.99,,,,,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Linen-blend Pants,men_trousers_linentrousers,39.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
