title,ram_,Storage,Generation,Graphics,Processor,Display,price,ecom_discpunt
,RAM - 4GB,Storage - 128GB SSD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 14,Ecom Discount Tk 500,Ecom Discount Tk 500
Dynabook (Toshiba) Satellite Pro C40-G-109 Intel CDC 5205U14 Inch HD Display Dark Blue Laptop #PYS26E,RAM - 4GB,Storage - 256GB SSD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 11.6,Ecom Discount Tk 500,Ecom Discount Tk 500
,RAM - 4GB,Storage - 256GB SSD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,Ecom Discount Tk 200,Ecom Discount Tk 200
Acer TravelMate TMB311-31-C3CD Intel CDC N4020 11.6 Inch HD Display Shale Black Laptop #NX.VNFSI.009,RAM - 4GB,Storage - 128GB eMMC,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 10.1,Ecom Discount Tk 400,Ecom Discount Tk 400
,RAM - 4GB,Storage - 256GB SSD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 14,"Ecom Discount Tk 1,000","Ecom Discount Tk 1,000"
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 15.6 Inch FHD Display Platinum Grey Laptop #81WQ00MKIN-3Y,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,"Ecom Discount Tk 2,500","Ecom Discount Tk 2,500"
,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,"Ecom Discount Tk 1,500","Ecom Discount Tk 1,500"
Lenovo IdeaPad D330 10IGL Intel CDC N4020 10.1 Inch HD IPS Touch Display Mineral Grey Laptop #82H0001VIN-1Y,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,"Ecom Discount Tk 1,000","Ecom Discount Tk 1,000"
,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,"Ecom Discount Tk 1,500","Ecom Discount Tk 1,500"
Lenovo IdeaPad Slim 3i 14IGL Intel CDC N4020 256GB SSD 14 Inch FHD Display Platinum Grey Laptop #81WH00A0IN-3Y,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,"Ecom Discount Tk 1,000","Ecom Discount Tk 1,000"
,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 14,"Ecom Discount Tk 1,300","Ecom Discount Tk 1,300"
Asus 15 P1511CMA Intel CDC N4020 15.6 Inch HD Display Slate Grey Laptop #BR693W-P1511CMA,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,"Ecom Discount Tk 1,300","Ecom Discount Tk 1,300"
,RAM - 4GB,Storage - 1TB HDD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,Ecom Discount Tk 400,Ecom Discount Tk 400
Asus X515KA Intel CDC N4500 15.6 Inch HD Display Slate Grey Laptop #BR104W-X515KA,RAM - 8GB,Storage - 256GB SSD,Generation - 10th (Intel),Graphics Memory - Shared,Processor Type. - Core i3,Display Size (Inch) - 14,"Ecom Discount Tk 1,000","Ecom Discount Tk 1,000"
,RAM - 4GB,Storage - 256GB SSD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 14,"Ecom Discount Tk 1,000","Ecom Discount Tk 1,000"
Asus X515MA Intel CDC N4020 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #BQ676W-X515MA,RAM - 4GB,Storage - 1TB HDD,Generation - 11th (Intel),Graphics Memory - Shared,Processor Type. - Core i3,Display Size (Inch) - 15.6,Ecom Discount Tk 500,Ecom Discount Tk 500
,RAM - 4GB,Storage - 512GB SSD,Generation - Not Applicable,Graphics Memory - Shared,Processor Type. - Intel Celeron,Display Size (Inch) - 15.6,Ecom Discount Tk 400,Ecom Discount Tk 400
Asus X515MA Intel CDC N4020 15.6 Inch FHD WV Display Transparent Silver Laptop #BQ675W-X515MA,RAM - 4GB,Storage - 1TB HDD,Generation - 10th (Intel),Graphics Memory - Shared,Processor Type. - Core i3,Display Size (Inch) - 15.6,Ecom Discount Tk 900,Ecom Discount Tk 900
